,Word,Class,Frequency
7,2018,ask_hn,1
17,a,ask_hn,3
33,amd,ask_hn,1
34,an,ask_hn,1
39,any,ask_hn,2
48,ask,ask_hn,8
59,be,ask_hn,1
61,before,ask_hn,1
71,blockchain,ask_hn,1
84,buy,ask_hn,1
91,can,ask_hn,1
99,chip,ask_hn,1
132,cryptocoin,ask_hn,1
151,developer,ask_hn,1
154,diligence,ask_hn,1
158,do,ask_hn,3
160,domain,ask_hn,1
162,don,ask_hn,1
170,due,ask_hn,1
182,expect,ask_hn,1
184,facebooks event,ask_hn,1
189,feature,ask_hn,1
194,fix,ask_hn,1
197,for,ask_hn,1
223,hardware,ask_hn,1
231,hn,ask_hn,8
236,how,ask_hn,1
242,i,ask_hn,1
249,improve,ask_hn,1
250,in,ask_hn,1
258,installer,ask_hn,1
275,javascript,ask_hn,1
288,learn,ask_hn,1
294,life,ask_hn,1
302,m,ask_hn,1
308,manager,ask_hn,1
332,name,ask_hn,1
365,perform,ask_hn,1
377,product,ask_hn,1
398,registrars,ask_hn,1
402,require,ask_hn,1
421,scalable,ask_hn,1
445,software,ask_hn,1
451,spectre,ask_hn,1
466,t,ask_hn,1
474,technical,ask_hn,1
477,technology,ask_hn,1
479,that,ask_hn,1
484,there,ask_hn,1
490,to,ask_hn,2
510,use,ask_hn,1
513,v,ask_hn,1
521,want,ask_hn,1
527,what,ask_hn,3
530,when,ask_hn,1
535,with,ask_hn,1
544,would,ask_hn,1
547,you,ask_hn,4
